City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Rio Grande,BR,-32.035,-52.0986,56.95,97,100,10.54,light rain
241,Te Anau,NZ,-45.4167,167.7167,43.3,98,100,6.38,overcast clouds
242,Ballachulish,GB,56.6774,-5.1308,53.31,93,100,1.97,overcast clouds
243,Nantucket,US,41.2835,-70.0995,51.94,83,90,14.97,moderate rain
244,Tabou,CI,4.423,-7.3528,79.7,85,84,7.31,broken clouds
245,Kruisfontein,ZA,-34.0033,24.7314,54.88,70,7,17.02,clear sky
246,Kirakira,SB,-10.4544,161.9205,80.62,78,100,8.39,overcast clouds
247,Ancud,CL,-41.8697,-73.8203,46.42,72,76,5.17,broken clouds
248,Mackay,AU,-21.15,149.2,73.69,56,85,14.97,overcast clouds
249,Silvassa,IN,20.2667,73.0167,87.1,63,100,6.91,overcast clouds
250,Upernavik,GL,72.7868,-56.1549,28.51,94,95,7.94,overcast clouds
251,Vaitape,PF,-16.5167,-151.75,80.31,70,24,1.19,few clouds
252,Bilibino,RU,68.0546,166.4372,51.31,53,68,2.37,broken clouds
253,Lazeshchyna,UA,48.2685,24.4201,46.33,97,95,1.63,overcast clouds
254,Pangnirtung,CA,66.1451,-65.7125,19.62,91,52,6.44,broken clouds
255,Lorengau,PG,-2.0226,147.2712,85.44,71,80,10.18,broken clouds
256,Nizwa,OM,22.9333,57.5333,91.42,14,32,3.31,scattered clouds
257,Peterhead,GB,57.5058,-1.7981,45.1,95,15,10.0,few clouds
258,Izumo,JP,35.3667,132.7667,71.55,68,75,12.91,broken clouds
259,Dingle,PH,10.9995,122.6711,89.67,61,69,4.65,broken clouds
260,Qaqortoq,GL,60.7167,-46.0333,45.1,92,37,12.08,scattered clouds
261,Korla,CN,41.7597,86.1469,84.29,19,5,10.71,clear sky
262,Pergamino,AR,-33.89,-60.5736,53.26,68,53,1.99,broken clouds
263,Natal,BR,-5.795,-35.2094,77.22,88,75,8.52,broken clouds
264,Douentza,ML,14.9951,-2.9517,92.19,33,91,5.03,overcast clouds
265,Lasa,IT,46.6166,10.7002,54.48,85,64,4.41,broken clouds
266,Linguere,SN,15.3953,-15.1193,75.65,44,42,11.97,scattered clouds
267,Doka,SD,13.5167,35.7667,81.73,43,5,8.01,clear sky
268,Santa Cecilia,BR,-26.9608,-50.4269,62.04,87,92,10.27,overcast clouds
269,Russell,US,32.3502,-85.1999,70.97,93,90,5.1,overcast clouds
270,Tual,ID,-5.6667,132.75,81.81,78,38,22.21,scattered clouds
271,Birjand,IR,32.8663,59.2211,64.87,36,0,6.91,clear sky
272,Chicama,PE,-7.8447,-79.1469,63.14,90,51,5.19,broken clouds
273,Okha,RU,53.5739,142.9478,43.43,72,61,16.24,broken clouds
274,Koungou,YT,-12.7336,45.2042,69.51,88,0,5.3,clear sky
275,Oranjemund,NA,-28.55,16.4333,56.37,89,49,7.61,scattered clouds
276,La Ronge,CA,55.1001,-105.2842,62.85,42,75,6.91,broken clouds
277,Saint Anthony,US,45.0205,-93.218,53.92,64,0,3.58,clear sky
278,Scarborough,GB,54.2797,-0.4044,50.9,90,35,4.32,scattered clouds
279,Jardim,BR,-21.4803,-56.1381,76.15,51,2,5.79,clear sky
280,Souillac,MU,-20.5167,57.5167,74.35,88,75,6.69,broken clouds
281,Voyvozh,RU,62.892,54.9635,53.1,79,27,10.33,scattered clouds
282,Oussouye,SN,12.485,-16.5469,74.17,68,2,7.54,clear sky
283,Tondano,ID,1.3038,124.9112,84.29,63,22,4.5,few clouds
284,Bjelovar,HR,45.8986,16.8489,53.29,87,12,1.92,few clouds
